InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority
926860,SKU_1910,USB Cable,21,06/07/2023 09:00:00 PM,84.07,69300.0,Italy,0.32,Credit Card,28.0,Electronics,Online,Not Returned,UPS,Rome,Low
993993,SKU_1275,Desk Lamp,40,09/02/2021 12:00:00 PM,16.94,84651.0,Norway,0.02,Credit Card,14.97,Electronics,Online,Not Returned,UPS,London,Low
448097,SKU_1741,Headphones,24,24/03/2024 09:00:00 PM,58.4,27045.0,Italy,0.06,Bank Transfer,22.35,Electronics,In-store,Not Returned,UPS,Rome,High
522418,SKU_1129,White Mug,48,08/02/2022 11:00:00 PM,37.62,43622.0,Germany,0.2,Paypall,15.46,Accessories,Online,Not Returned,UPS,Rome,Medium
857044,SKU_1572,Office Chair,11,04/06/2024 06:00:00 PM,76.23,80173.0,Spain,0.03,Credit Card,16.55,Furniture,In-store,Not Returned,Royal Mail,Amsterdam,Low
301664,SKU_1330,White Mug,46,07/01/2020 09:00:00 AM,76.94,96058.0,United Kingdom,0.04,Credit Card,25.4,Accessories,In-store,Not Returned,FedEx,Berlin,Medium
176693,SKU_1077,Office Chair,15,28/04/2021 05:00:00 PM,16.99,72776.0,United Kingdom,0.25,Bank Transfer,8.96,Furniture,Online,Returned,UPS,Berlin,Medium
124544,SKU_1055,Notebook,38,26/05/2021 08:00:00 PM,9.45,34973.0,Italy,0.19,Paypall,18.16,Stationery,In-store,Not Returned,FedEx,Rome,Low
285641,SKU_1225,Desk Lamp,30,18/11/2024 03:00:00 PM,88.1,70549.0,United States,0.1,Bank Transfer,18.67,Electronics,In-store,Not Returned,FedEx,Amsterdam,Low
994995,SKU_1230,Headphones,49,14/09/2021 01:00:00 AM,87.17,78789.0,Sweden,0.39,Bank Transfer,23.62,Electronics,In-store,Not Returned,Royal Mail,Amsterdam,High
341310,SKU_1698,Desk Lamp,9,31/07/2025 02:00:00 AM,54.45,66453.0,Spain,0.22,Credit Card,18.54,Electronics,In-store,Returned,DHL,Rome,Medium
546546,SKU_1343,USB Cable,22,02/08/2025 09:00:00 PM,74.34,17223.0,Belgium,0.19,Bank Transfer,18.07,Electronics,Online,Not Returned,DHL,Rome,Low
182124,SKU_1747,USB Cable,34,19/09/2022 04:00:00 AM,75.48,25513.0,Australia,0.06,Paypall,23.47,Electronics,Online,Not Returned,Royal Mail,London,Low
376869,SKU_1616,White Mug,35,17/12/2024 10:00:00 PM,30.09,62165.0,Portugal,0.49,Paypall,9.33,Accessories,Online,Not Returned,Royal Mail,London,Low
773422,SKU_1350,Headphones,29,04/09/2020 10:00:00 AM,73.09,56494.0,Australia,0.38,Paypall,13.69,Electronics,Online,Not Returned,Royal Mail,Rome,Low
458076,SKU_1620,Backpack,47,27/06/2025 10:00:00 AM,34.72,11509.0,France,0.24,Bank Transfer,21.23,Apparel,Online,Not Returned,UPS,Berlin,High
511121,SKU_1187,Wall Clock,29,16/01/2024 10:00:00 PM,14.79,85420.0,Italy,0.43,Bank Transfer,12.88,Accessories,In-store,Not Returned,Royal Mail,Paris,Low
172372,SKU_1631,Office Chair,5,15/11/2023 02:00:00 PM,72.65,62847.0,Italy,0.02,Bank Transfer,15.0,Furniture,In-store,Not Returned,UPS,Rome,Medium
721828,SKU_1694,USB Cable,22,12/03/2022 10:00:00 AM,60.74,28784.0,France,0.01,Bank Transfer,15.24,Electronics,Online,Not Returned,UPS,Berlin,Medium
761880,SKU_1423,Notebook,23,14/11/2024 05:00:00 PM,92.63,76549.0,Netherlands,0.26,Bank Transfer,15.28,Stationery,Online,Not Returned,UPS,London,Low
362682,SKU_1270,Headphones,3,07/08/2025 12:00:00 PM,12.03,80226.0,Belgium,0.1,Credit Card,15.51,Electronics,In-store,Not Returned,DHL,Paris,Medium
658697,SKU_1005,Backpack,43,26/12/2020 01:00:00 AM,62.86,10257.0,Netherlands,0.21,Bank Transfer,14.64,Apparel,Online,Not Returned,DHL,Rome,Low
815601,SKU_1029,Office Chair,12,27/12/2020 06:00:00 AM,40.95,67606.0,United Kingdom,0.01,Paypall,15.21,Furniture,Online,Not Returned,DHL,Rome,Low
907864,SKU_1665,T-shirt,30,22/05/2023 05:00:00 PM,55.69,76542.0,Norway,0.43,Paypall,8.3,Apparel,Online,Not Returned,Royal Mail,Rome,Medium
565918,SKU_1617,Blue Pen,25,27/06/2020 12:00:00 AM,64.56,11508.0,Germany,0.38,Bank Transfer,20.21,Stationery,In-store,Not Returned,FedEx,Berlin,Medium
397675,SKU_1689,Backpack,23,02/08/2020 06:00:00 AM,8.16,60527.0,Australia,0.17,Bank Transfer,16.76,Apparel,Online,Not Returned,UPS,Paris,Low
644653,SKU_1029,Wireless Mouse,18,15/03/2021 11:00:00 PM,85.32,71960.0,Germany,0.37,Bank Transfer,19.06,Electronics,In-store,Not Returned,Royal Mail,Paris,Low
755347,SKU_1303,Wall Clock,6,04/09/2023 08:00:00 AM,70.78,95417.0,Sweden,0.37,Bank Transfer,17.32,Accessories,In-store,Not Returned,Royal Mail,Paris,Medium
589066,SKU_1277,Blue Pen,46,22/05/2020 11:00:00 PM,8.34,26902.0,Netherlands,0.34,Paypall,20.4,Stationery,Online,Not Returned,Royal Mail,London,Medium
115588,SKU_1517,White Mug,5,30/06/2021 07:00:00 PM,35.58,84388.0,Germany,0.13,Paypall,13.33,Accessories,Online,Not Returned,UPS,Amsterdam,High
766514,SKU_1078,Notebook,27,01/01/2021 10:00:00 PM,74.93,34405.0,Spain,0.32,Credit Card,17.21,Stationery,In-store,Not Returned,Royal Mail,Amsterdam,High
500782,SKU_1116,Blue Pen,13,02/10/2020 04:00:00 PM,2.71,73041.0,Germany,0.36,Paypall,20.48,Stationery,Online,Not Returned,FedEx,Berlin,Low
475982,SKU_1689,Desk Lamp,16,22/11/2021 10:00:00 AM,54.37,89626.0,Portugal,0.24,Paypall,20.22,Electronics,In-store,Not Returned,FedEx,Rome,High
660910,SKU_1261,Wall Clock,5,07/04/2022 08:00:00 AM,26.25,79899.0,Spain,0.42,Paypall,14.95,Accessories,In-store,Not Returned,FedEx,Berlin,Low
644077,SKU_1638,T-shirt,18,30/06/2025 06:00:00 AM,9.21,20427.0,Portugal,0.26,Credit Card,5.18,Apparel,In-store,Not Returned,DHL,London,High
479442,SKU_1411,White Mug,21,17/08/2024 06:00:00 PM,47.24,24829.0,Sweden,0.07,Bank Transfer,24.79,Accessories,In-store,Returned,UPS,Berlin,Low
905889,SKU_1450,Backpack,35,04/01/2020 08:00:00 AM,30.82,53228.0,Italy,0.03,Credit Card,8.87,Apparel,Online,Returned,FedEx,Paris,Low
489546,SKU_1951,White Mug,6,02/11/2020 10:00:00 AM,67.73,93310.0,Sweden,0.4,Paypall,22.5,Accessories,In-store,Not Returned,UPS,Rome,Medium
241020,SKU_1104,USB Cable,10,02/01/2025 08:00:00 PM,24.81,69770.0,Sweden,0.38,Paypall,11.17,Electronics,In-store,Not Returned,Royal Mail,Berlin,High
695374,SKU_1424,Notebook,3,10/05/2024 03:00:00 AM,68.76,85509.0,United States,0.45,Credit Card,16.88,Stationery,In-store,Not Returned,UPS,Amsterdam,Medium
131153,SKU_1414,Blue Pen,49,14/10/2021 03:00:00 PM,4.78,35805.0,United States,0.41,Credit Card,17.79,Stationery,In-store,Not Returned,Royal Mail,Paris,Medium
713794,SKU_1481,Blue Pen,21,07/05/2021 12:00:00 PM,44.39,96166.0,United States,0.38,Paypall,11.82,Stationery,Online,Not Returned,UPS,Paris,Medium
785058,SKU_1890,Desk Lamp,21,10/08/2023 09:00:00 PM,55.73,79739.0,Germany,0.23,Bank Transfer,28.09,Electronics,Online,Not Returned,Royal Mail,Berlin,Low
617969,SKU_1654,Notebook,9,18/03/2023 01:00:00 AM,72.79,45267.0,Australia,0.47,Bank Transfer,14.91,Stationery,In-store,Not Returned,UPS,Berlin,Medium
637716,SKU_1751,Notebook,18,18/05/2020 02:00:00 AM,84.36,65931.0,United Kingdom,0.32,Bank Transfer,10.66,Stationery,Online,Not Returned,FedEx,Rome,Medium
975584,SKU_1865,USB Cable,32,01/05/2021 12:00:00 AM,61.85,76902.0,Netherlands,0.47,Paypall,12.91,Electronics,In-store,Not Returned,FedEx,Amsterdam,High
249805,SKU_1221,USB Cable,11,03/03/2021 04:00:00 PM,56.61,37582.0,Netherlands,0.4,Paypall,20.77,Electronics,Online,Not Returned,DHL,Berlin,High
813708,SKU_1231,Office Chair,23,17/04/2020 05:00:00 AM,64.15,46965.0,Australia,0.48,Paypall,20.02,Furniture,Online,Not Returned,DHL,Rome,Medium
679074,SKU_1262,T-shirt,16,08/10/2020 01:00:00 AM,49.14,86277.0,Germany,0.34,Paypall,13.43,Apparel,In-store,Not Returned,Royal Mail,Berlin,High
612447,SKU_1091,Notebook,35,18/04/2021 01:00:00 AM,63.59,31095.0,Netherlands,0.49,Bank Transfer,21.03,Stationery,Online,Not Returned,FedEx,Berlin,Medium
567453,SKU_1318,Headphones,1,19/01/2022 11:00:00 PM,36.59,30838.0,Sweden,0.37,Bank Transfer,16.29,Electronics,Online,Not Returned,Royal Mail,London,Low
967784,SKU_1391,Headphones,22,29/12/2021 10:00:00 AM,28.76,37619.0,Portugal,0.25,Bank Transfer,5.37,Electronics,Online,Not Returned,UPS,Berlin,Low
780849,SKU_1470,Headphones,1,15/12/2022 05:00:00 PM,89.41,10166.0,Belgium,0.36,Credit Card,19.88,Electronics,In-store,Not Returned,FedEx,Paris,High
696715,SKU_1326,Backpack,41,10/10/2022 07:00:00 PM,51.71,48177.0,United Kingdom,0.27,Bank Transfer,9.84,Apparel,In-store,Not Returned,Royal Mail,Amsterdam,Medium
727890,SKU_1645,Headphones,14,06/05/2021 05:00:00 AM,32.56,15183.0,Portugal,0.19,Bank Transfer,27.76,Electronics,In-store,Not Returned,UPS,Rome,Medium
345121,SKU_1427,USB Cable,45,15/02/2020 09:00:00 AM,47.35,51732.0,France,0.27,Credit Card,23.0,Electronics,In-store,Returned,UPS,Berlin,Medium
126014,SKU_1701,T-shirt,41,30/11/2021 10:00:00 PM,29.07,58192.0,Netherlands,0.21,Bank Transfer,28.68,Apparel,Online,Not Returned,DHL,Berlin,High
497771,SKU_1569,White Mug,20,30/12/2023 05:00:00 PM,20.59,75991.0,France,0.42,Bank Transfer,16.28,Accessories,Online,Not Returned,UPS,Berlin,Medium
512085,SKU_1848,Headphones,14,20/03/2025 07:00:00 AM,53.99,20414.0,Belgium,0.47,Paypall,6.71,Electronics,In-store,Not Returned,UPS,Amsterdam,High
245949,SKU_1462,White Mug,27,28/04/2022 10:00:00 PM,13.62,54101.0,Spain,0.04,Bank Transfer,21.15,Accessories,In-store,Not Returned,Royal Mail,London,Medium
441507,SKU_1587,Backpack,34,17/09/2024 05:00:00 PM,89.24,97669.0,Portugal,0.44,Paypall,10.54,Apparel,In-store,Not Returned,Royal Mail,London,Medium
542065,SKU_1832,T-shirt,23,06/11/2020 10:00:00 AM,85.97,88354.0,Belgium,0.09,Credit Card,28.17,Apparel,Online,Not Returned,DHL,Amsterdam,Low
694498,SKU_1135,White Mug,14,14/11/2021 08:00:00 AM,99.28,93939.0,Spain,0.28,Bank Transfer,15.97,Accessories,In-store,Not Returned,FedEx,Amsterdam,Medium
169745,SKU_1557,Desk Lamp,12,11/04/2024 11:00:00 PM,78.78,91901.0,Portugal,0.05,Paypall,15.9,Electronics,In-store,Not Returned,FedEx,London,Medium
584075,SKU_1853,T-shirt,25,29/11/2022 07:00:00 PM,97.0,18028.0,Spain,0.33,Credit Card,20.88,Apparel,In-store,Not Returned,UPS,Paris,Medium
414041,SKU_1215,Backpack,35,26/11/2021 01:00:00 PM,9.88,78421.0,United States,0.14,Credit Card,14.76,Apparel,In-store,Not Returned,UPS,Rome,Low
520349,SKU_1300,Headphones,28,17/05/2023 12:00:00 PM,92.42,52008.0,Australia,0.25,Paypall,20.4,Electronics,In-store,Not Returned,DHL,Amsterdam,Medium
609698,SKU_1771,Wall Clock,9,24/03/2021 04:00:00 PM,70.33,10191.0,Germany,0.26,Credit Card,23.9,Accessories,In-store,Not Returned,FedEx,Amsterdam,High
119301,SKU_1406,White Mug,15,29/01/2024 11:00:00 AM,85.57,46823.0,Norway,0.31,Bank Transfer,17.56,Accessories,Online,Returned,Royal Mail,Paris,Low
551989,SKU_1322,White Mug,33,01/03/2021 09:00:00 AM,28.58,44527.0,United Kingdom,0.25,Paypall,10.78,Accessories,Online,Not Returned,Royal Mail,Amsterdam,Medium
381652,SKU_1161,Backpack,48,13/04/2020 03:00:00 PM,90.12,91467.0,United Kingdom,0.43,Credit Card,9.18,Apparel,Online,Not Returned,FedEx,London,High
113807,SKU_1951,USB Cable,33,02/02/2020 12:00:00 AM,1.77,36704.0,Spain,0.23,Bank Transfer,5.76,Electronics,In-store,Not Returned,FedEx,Rome,High
150756,SKU_1017,Notebook,29,30/06/2023 01:00:00 AM,59.46,26375.0,Norway,0.49,Bank Transfer,28.47,Stationery,Online,Not Returned,FedEx,Berlin,Low
296164,SKU_1830,Wall Clock,32,02/07/2021 06:00:00 AM,53.76,58737.0,Australia,0.17,Paypall,23.4,Accessories,Online,Not Returned,UPS,London,High
632440,SKU_1219,Office Chair,31,04/12/2024 01:00:00 AM,46.05,61242.0,Germany,0.07,Paypall,28.22,Furniture,In-store,Not Returned,UPS,Paris,High
600508,SKU_1694,Office Chair,22,01/04/2022 08:00:00 PM,54.76,68899.0,United States,0.39,Credit Card,17.96,Furniture,In-store,Not Returned,UPS,Paris,Low
386752,SKU_1243,Headphones,40,20/07/2024 05:00:00 PM,68.87,55020.0,Belgium,0.14,Bank Transfer,25.38,Electronics,Online,Not Returned,DHL,Amsterdam,Medium
385177,SKU_1016,Blue Pen,3,07/07/2024 10:00:00 PM,49.49,50195.0,Belgium,0.17,Paypall,28.06,Stationery,In-store,Returned,UPS,Rome,Low
476640,SKU_1784,Wireless Mouse,8,13/02/2023 11:00:00 AM,57.99,79911.0,United Kingdom,0.1,Credit Card,18.69,Electronics,Online,Not Returned,UPS,Paris,High
952835,SKU_1600,Desk Lamp,34,28/12/2022 09:00:00 AM,92.86,83432.0,Italy,0.21,Paypall,19.45,Electronics,In-store,Not Returned,FedEx,Paris,High
580469,SKU_1732,T-shirt,10,04/01/2025 06:00:00 PM,80.58,48954.0,United States,0.37,Credit Card,5.49,Apparel,In-store,Not Returned,FedEx,London,Medium
870824,SKU_1717,T-shirt,26,11/09/2020 04:00:00 PM,85.32,93567.0,Belgium,0.18,Paypall,17.97,Apparel,Online,Not Returned,Royal Mail,London,Low
284426,SKU_1341,Notebook,46,04/04/2025 08:00:00 PM,29.64,65775.0,Norway,0.31,Bank Transfer,11.24,Stationery,In-store,Not Returned,FedEx,Rome,High
408479,SKU_1220,Backpack,37,02/08/2023 09:00:00 PM,67.11,80927.0,Portugal,0.04,Bank Transfer,14.82,Apparel,Online,Not Returned,UPS,Paris,Low
596389,SKU_1252,USB Cable,21,27/02/2021 04:00:00 AM,25.5,66686.0,United Kingdom,0.32,Paypall,9.82,Electronics,Online,Not Returned,FedEx,Paris,High
430977,SKU_1607,Office Chair,42,28/07/2024 08:00:00 AM,40.61,35687.0,Norway,0.4,Paypall,26.42,Furniture,Online,Not Returned,FedEx,Paris,Low
659139,SKU_1593,Office Chair,41,12/04/2023 10:00:00 AM,11.7,26307.0,Belgium,0.29,Credit Card,29.04,Furniture,Online,Not Returned,Royal Mail,Paris,Low
749381,SKU_1514,Office Chair,4,02/12/2021 07:00:00 AM,22.53,72196.0,Belgium,0.25,Credit Card,16.27,Furniture,In-store,Returned,UPS,Berlin,Low
593244,SKU_1305,Desk Lamp,41,22/03/2021 09:00:00 PM,81.28,58969.0,Italy,0.1,Credit Card,14.16,Electronics,In-store,Not Returned,Royal Mail,London,Low
948124,SKU_1127,Desk Lamp,25,12/10/2020 01:00:00 AM,26.43,98201.0,Portugal,0.25,Paypall,16.42,Electronics,In-store,Returned,Royal Mail,Rome,High
386788,SKU_1912,Office Chair,38,20/01/2022 04:00:00 PM,81.06,71032.0,Belgium,0.34,Credit Card,11.16,Furniture,Online,Not Returned,Royal Mail,Paris,High
919593,SKU_1037,Desk Lamp,22,05/04/2021 01:00:00 PM,49.96,55912.0,Belgium,0.21,Paypall,9.91,Electronics,Online,Not Returned,UPS,Paris,Medium
128141,SKU_1397,White Mug,36,02/05/2020 12:00:00 AM,68.13,72474.0,France,0.02,Bank Transfer,29.99,Accessories,Online,Not Returned,DHL,Berlin,Medium
774719,SKU_1220,Blue Pen,10,20/08/2024 04:00:00 PM,51.16,12063.0,Belgium,0.46,Paypall,20.21,Stationery,In-store,Not Returned,Royal Mail,London,Low
410584,SKU_1874,Wall Clock,20,01/03/2024 12:00:00 PM,62.41,51652.0,United States,0.17,Credit Card,12.81,Accessories,In-store,Not Returned,FedEx,Rome,Low
270954,SKU_1395,Wall Clock,48,07/09/2023 07:00:00 AM,30.84,43074.0,United States,0.24,Paypall,11.32,Accessories,In-store,Not Returned,FedEx,Rome,High
342329,SKU_1668,Backpack,35,11/02/2025 02:00:00 PM,85.41,39484.0,France,0.35,Paypall,6.85,Apparel,In-store,Not Returned,UPS,Berlin,High
880751,SKU_1103,USB Cable,16,10/12/2021 12:00:00 PM,96.76,83464.0,Norway,0.15,Bank Transfer,11.78,Electronics,In-store,Not Returned,UPS,London,Low
133677,SKU_1137,Office Chair,34,21/01/2023 12:00:00 AM,51.85,50722.0,Italy,0.47,Bank Transfer,17.7,Furniture,Online,Not Returned,DHL,Paris,Medium
191045,SKU_1150,Backpack,34,22/10/2024 05:00:00 PM,24.11,21289.0,Sweden,0.14,Credit Card,16.09,Apparel,Online,Returned,Royal Mail,Amsterdam,High
333725,SKU_1294,Headphones,8,26/09/2021 02:00:00 AM,93.84,94700.0,Belgium,0.31,Paypall,17.63,Electronics,Online,Not Returned,FedEx,Rome,Medium
376358,SKU_1792,Wall Clock,11,12/12/2024 03:00:00 AM,85.05,79026.0,Italy,0.07,Paypall,28.45,Accessories,Online,Not Returned,DHL,London,High
392432,SKU_1373,Backpack,30,01/06/2025 09:00:00 PM,45.41,30378.0,Norway,0.18,Bank Transfer,26.92,Apparel,In-store,Not Returned,DHL,Paris,Medium
688829,SKU_1876,Wireless Mouse,12,12/12/2021 07:00:00 AM,84.54,64642.0,Netherlands,0.39,Credit Card,21.97,Electronics,In-store,Not Returned,UPS,Amsterdam,Low
507644,SKU_1158,Notebook,21,19/02/2025 02:00:00 AM,80.16,44976.0,Australia,0.46,Bank Transfer,10.35,Stationery,Online,Not Returned,UPS,London,Low
377114,SKU_1911,Wireless Mouse,21,10/02/2025 10:00:00 AM,31.98,24209.0,Spain,0.47,Bank Transfer,5.82,Electronics,In-store,Not Returned,DHL,Berlin,High
999321,SKU_1444,Desk Lamp,5,30/03/2022 11:00:00 PM,70.95,80007.0,France,0.15,Credit Card,12.66,Electronics,Online,Not Returned,UPS,Rome,Low
859942,SKU_1685,Notebook,12,28/08/2021 08:00:00 AM,46.82,82955.0,Belgium,0.42,Paypall,16.36,Stationery,Online,Not Returned,FedEx,Rome,Medium
990580,SKU_1220,Headphones,8,11/03/2024 08:00:00 PM,60.14,33726.0,Norway,0.49,Paypall,20.64,Electronics,Online,Not Returned,Royal Mail,Amsterdam,Low
881712,SKU_1954,Headphones,29,23/10/2020 09:00:00 AM,68.26,66461.0,Belgium,0.05,Bank Transfer,7.22,Electronics,Online,Not Returned,DHL,Berlin,Low
802088,SKU_1371,Desk Lamp,19,11/07/2022 05:00:00 PM,34.53,41896.0,France,0.2,Credit Card,26.93,Electronics,Online,Returned,UPS,London,Medium
713332,SKU_1338,Office Chair,9,28/12/2020 02:00:00 PM,80.69,19714.0,United Kingdom,0.32,Credit Card,11.63,Furniture,Online,Returned,DHL,Amsterdam,High
241880,SKU_1388,Wall Clock,47,03/08/2020 10:00:00 PM,2.04,87151.0,France,0.02,Paypall,27.98,Accessories,In-store,Not Returned,DHL,Paris,High
621384,SKU_1154,Notebook,19,30/06/2023 11:00:00 AM,29.53,97420.0,Portugal,0.44,Credit Card,8.91,Stationery,In-store,Not Returned,DHL,Rome,High
741127,SKU_1878,Blue Pen,29,11/03/2023 08:00:00 PM,12.3,68262.0,Netherlands,0.21,Bank Transfer,16.31,Stationery,In-store,Not Returned,DHL,Paris,High
109821,SKU_1664,Blue Pen,20,15/03/2024 01:00:00 AM,70.66,15978.0,France,0.35,Paypall,22.19,Stationery,Online,Not Returned,FedEx,Paris,Medium
729425,SKU_1927,USB Cable,43,11/07/2022 05:00:00 AM,92.16,79911.0,Netherlands,0.44,Paypall,20.09,Electronics,Online,Not Returned,UPS,Rome,High
218540,SKU_1085,Backpack,7,29/03/2025 12:00:00 AM,15.8,96949.0,Netherlands,0.42,Credit Card,26.38,Apparel,Online,Not Returned,FedEx,Paris,High
646353,SKU_1145,Notebook,18,10/08/2025 11:00:00 AM,12.96,63972.0,Australia,0.01,Paypall,20.68,Stationery,Online,Not Returned,FedEx,London,Medium
354062,SKU_1757,White Mug,33,12/08/2024 11:00:00 AM,96.7,73644.0,Italy,0.03,Bank Transfer,12.67,Accessories,In-store,Not Returned,DHL,London,High
842647,SKU_1841,Notebook,45,02/02/2022 04:00:00 PM,32.2,43640.0,Italy,0.03,Credit Card,14.76,Stationery,In-store,Not Returned,Royal Mail,Amsterdam,Medium
771147,SKU_1368,Backpack,14,16/02/2023 05:00:00 PM,4.57,71784.0,United States,0.35,Bank Transfer,12.71,Apparel,In-store,Not Returned,DHL,Rome,Medium
193254,SKU_1818,Wall Clock,4,03/09/2024 11:00:00 AM,37.55,14926.0,Netherlands,0.16,Paypall,24.29,Accessories,In-store,Not Returned,UPS,Rome,High
575098,SKU_1474,Blue Pen,48,09/05/2024 10:00:00 AM,39.25,68163.0,Netherlands,0.4,Bank Transfer,6.21,Stationery,In-store,Not Returned,FedEx,Rome,High
521788,SKU_1681,Office Chair,45,06/08/2023 10:00:00 AM,61.85,59537.0,France,0.42,Credit Card,6.27,Furniture,Online,Not Returned,UPS,London,High
298336,SKU_1198,Notebook,14,12/02/2025 05:00:00 AM,32.17,20509.0,Italy,0.04,Paypall,6.73,Stationery,In-store,Not Returned,DHL,Paris,Medium
110910,SKU_1355,Notebook,1,23/09/2022 03:00:00 AM,50.96,19646.0,Norway,0.45,Paypall,10.3,Stationery,In-store,Returned,Royal Mail,Paris,Low
324094,SKU_1629,Notebook,35,05/07/2024 06:00:00 PM,83.38,77415.0,Germany,0.17,Bank Transfer,5.13,Stationery,Online,Not Returned,UPS,Berlin,Medium
297745,SKU_1789,Blue Pen,11,28/09/2021 01:00:00 AM,96.91,78837.0,Portugal,0.4,Credit Card,29.76,Stationery,In-store,Not Returned,FedEx,Berlin,Medium
667607,SKU_1489,USB Cable,41,15/02/2022 11:00:00 PM,3.21,55713.0,United States,0.27,Bank Transfer,18.85,Electronics,In-store,Not Returned,Royal Mail,Rome,Medium
331144,SKU_1928,Backpack,16,03/03/2024 01:00:00 AM,8.27,45601.0,Spain,0.27,Credit Card,19.87,Apparel,In-store,Not Returned,UPS,Rome,Medium
753345,SKU_1971,Wireless Mouse,5,25/04/2025 06:00:00 AM,70.17,82086.0,Germany,0.29,Paypall,19.75,Electronics,In-store,Not Returned,FedEx,Rome,Medium
297935,SKU_1802,White Mug,43,04/05/2022 04:00:00 PM,49.68,83420.0,Belgium,0.17,Paypall,27.34,Accessories,In-store,Not Returned,DHL,Rome,Low
832491,SKU_1324,Backpack,13,28/06/2025 06:00:00 AM,7.92,84405.0,United States,0.44,Bank Transfer,17.22,Apparel,Online,Not Returned,Royal Mail,Berlin,Medium
126069,SKU_1686,White Mug,8,17/02/2020 06:00:00 AM,39.65,45615.0,Portugal,0.16,Bank Transfer,19.38,Accessories,In-store,Not Returned,FedEx,Berlin,Low
991751,SKU_1106,Backpack,36,26/06/2023 05:00:00 PM,41.1,84856.0,United States,0.15,Bank Transfer,13.8,Apparel,In-store,Returned,UPS,Amsterdam,Medium
141430,SKU_1010,White Mug,18,19/01/2023 04:00:00 AM,56.06,89378.0,Norway,0.39,Bank Transfer,20.42,Accessories,Online,Not Returned,UPS,London,High
437128,SKU_1793,Blue Pen,47,30/12/2024 03:00:00 PM,94.48,56484.0,Spain,0.03,Paypall,23.2,Stationery,Online,Not Returned,FedEx,Rome,High
654686,SKU_1375,Notebook,46,09/04/2025 10:00:00 PM,5.5,14356.0,United Kingdom,0.44,Bank Transfer,10.81,Stationery,In-store,Not Returned,DHL,Amsterdam,Low
722794,SKU_1912,Wireless Mouse,30,12/01/2020 06:00:00 AM,60.15,13471.0,Italy,0.36,Bank Transfer,15.3,Electronics,In-store,Not Returned,DHL,London,Medium
740102,SKU_1853,White Mug,2,05/12/2021 12:00:00 AM,95.41,16119.0,Italy,0.02,Credit Card,19.85,Accessories,In-store,Returned,FedEx,Rome,Low
972638,SKU_1160,USB Cable,33,23/03/2020 04:00:00 AM,71.78,88365.0,United Kingdom,0.2,Credit Card,7.07,Electronics,In-store,Not Returned,Royal Mail,Paris,Low
529640,SKU_1980,Desk Lamp,3,25/02/2024 08:00:00 PM,19.05,33685.0,Spain,0.27,Paypall,17.06,Electronics,Online,Not Returned,DHL,Paris,High
261769,SKU_1448,T-shirt,29,06/12/2024 06:00:00 PM,96.41,73265.0,United States,0.38,Bank Transfer,9.53,Apparel,Online,Not Returned,DHL,Rome,High
881474,SKU_1123,Desk Lamp,4,16/01/2020 02:00:00 AM,89.98,55419.0,United Kingdom,0.11,Paypall,18.79,Electronics,Online,Not Returned,DHL,Berlin,Medium
244382,SKU_1507,Backpack,2,07/07/2025 03:00:00 PM,51.52,17914.0,Italy,0.08,Bank Transfer,19.42,Apparel,Online,Not Returned,DHL,Amsterdam,Medium
448492,SKU_1167,Office Chair,21,26/12/2022 01:00:00 PM,41.92,56692.0,Australia,0.13,Paypall,9.27,Furniture,Online,Not Returned,UPS,Rome,Low
437330,SKU_1444,Office Chair,47,01/03/2023 01:00:00 AM,81.26,96842.0,Belgium,0.13,Bank Transfer,25.21,Furniture,In-store,Not Returned,DHL,Amsterdam,Low
369262,SKU_1556,Headphones,45,22/12/2024 03:00:00 PM,63.96,53184.0,Sweden,0.37,Bank Transfer,20.55,Electronics,Online,Not Returned,DHL,London,Low
140503,SKU_1322,Wireless Mouse,45,02/03/2025 09:00:00 PM,93.89,32169.0,United Kingdom,0.22,Bank Transfer,26.42,Electronics,Online,Not Returned,Royal Mail,Berlin,Low
117118,SKU_1595,Backpack,23,24/11/2020 04:00:00 AM,83.13,80155.0,Italy,0.44,Credit Card,20.6,Apparel,In-store,Not Returned,FedEx,London,Medium
344620,SKU_1017,USB Cable,12,05/10/2022 10:00:00 AM,18.76,67866.0,Italy,0.4,Bank Transfer,17.53,Electronics,In-store,Not Returned,DHL,London,Low
837744,SKU_1651,Desk Lamp,24,12/10/2020 02:00:00 AM,88.32,66588.0,Sweden,0.32,Paypall,22.18,Electronics,Online,Not Returned,FedEx,Paris,Medium
247818,SKU_1705,Office Chair,24,06/04/2024 03:00:00 PM,62.37,67912.0,Italy,0.45,Credit Card,24.46,Furniture,Online,Not Returned,DHL,London,Low
804989,SKU_1027,Headphones,24,23/07/2021 12:00:00 PM,17.6,18106.0,Belgium,0.3,Credit Card,24.3,Electronics,In-store,Not Returned,FedEx,Rome,Medium
365496,SKU_1594,Headphones,45,21/03/2023 06:00:00 AM,12.76,32897.0,United Kingdom,0.25,Credit Card,6.62,Electronics,Online,Not Returned,UPS,Berlin,Low
